"KundenadressePLZ","Ort","Land","Sum(Totalbetrag)","adresse","coordinate","latitude","longitude"
1080,"Les Cullayes","Schweiz",3586.9000000000005,"1080 Les Cullayes, Schweiz","46.5720997 6.754306799999999",46.5720997,6.754306799999999
1081,"Montpreveyres","Schweiz",527.15,"1081 Montpreveyres, Schweiz","46.5766056 6.731761",46.5766056,6.731761
1082,"Corcelles-le-Jorat","Schweiz",913.9,"1082 Corcelles-le-Jorat, Schweiz","46.6064999 6.742288899999999",46.6064999,6.742288899999999
1083,"Mézières VD","Schweiz",5523.599999999999,"1083 Mézières VD, Schweiz","46.5892596 6.763411000000001",46.5892596,6.763411000000001
1084,"Carrouge VD","Schweiz",3052.5,"1084 Carrouge VD, Schweiz","46.604492 6.773003399999999",46.604492,6.773003399999999
1085,"Vulliens","Schweiz",1269.45,"1085 Vulliens, Schweiz","46.622324 6.792134400000001",46.622324,6.792134400000001
1088,"Ropraz","Schweiz",1000.8999999999999,"1088 Ropraz, Schweiz","46.6141432 6.7521133",46.6141432,6.7521133
1090,"La Croix (Lutry)","Schweiz",618.3,"1090 La Croix (Lutry), Schweiz","46.518031 6.703405999999999",46.518031,6.703405999999999
1091,"Aran","Schweiz",3313.3000000000006,"1091 Aran, Schweiz","46.49828 6.71",46.49828,6.71
1092,"Belmont-sur-Lausanne","Schweiz",2796.95,"1092 Belmont-sur-Lausanne, Schweiz","46.5305434 6.6922989",46.5305434,6.6922989
1093,"La Conversion","Schweiz",3111.6500000000005,"1093 La Conversion, Schweiz","46.5124337 6.6794825",46.5124337,6.6794825
1094,"Paudex","Schweiz",33.5,"1094 Paudex, Schweiz","46.5086319 6.674305599999999",46.5086319,6.674305599999999
1095,"Lutry","Schweiz",7326.8499999999985,"1095 Lutry, Schweiz","46.5063689 6.6923302",46.5063689,6.6923302
1096,"Villette (Lavaux)","Schweiz",5423.8,"1096 Villette (Lavaux), Schweiz","46.48975249999999 6.7283917",46.48975249999999,6.7283917
1097,"Riex","Schweiz",2630.2500000000005,"1097 Riex, Schweiz","46.4998946 6.7407884",46.4998946,6.7407884
1098,"Epesses","Schweiz",337.69999999999993,"1098 Epesses, Schweiz","46.4935211 6.746422399999999",46.4935211,6.746422399999999
1110,"Morges","Schweiz",14526.000000000007,"1110 Morges, Schweiz","46.5129601 6.494382",46.5129601,6.494382
1112,"Echichens","Schweiz",1025.4999999999998,"1112 Echichens, Schweiz","46.5320474 6.4987353",46.5320474,6.4987353
1113,"St-Saphorin-sur-Morges","Schweiz",657.5,"1113 St-Saphorin-sur-Morges, Schweiz","46.5470069 6.490760499999999",46.5470069,6.490760499999999
1115,"Vullierens","Schweiz",328.95000000000005,"1115 Vullierens, Schweiz","46.5791671 6.478146799999999",46.5791671,6.478146799999999
1116,"Cottens VD","Schweiz",3051.5,"1116 Cottens VD, Schweiz","46.5720815 6.4539944",46.5720815,6.4539944
1117,"Grancy","Schweiz",153.95,"1117 Grancy, Schweiz","46.589997 6.4578156",46.589997,6.4578156
1121,"Bremblens","Schweiz",4476.25,"1121 Bremblens, Schweiz","46.5501806 6.519964",46.5501806,6.519964
1122,"Romanel-sur-Morges","Schweiz",1424.6000000000001,"1122 Romanel-sur-Morges, Schweiz","46.5555532 6.5108738",46.5555532,6.5108738
1123,"Aclens","Schweiz",132.8,"1123 Aclens, Schweiz","46.5676953 6.5097236",46.5676953,6.5097236
1124,"Gollion","Schweiz",542.95,"1124 Gollion, Schweiz","46.5868029 6.5140923",46.5868029,6.5140923
1125,"Monnaz","Schweiz",47.8,"1125 Monnaz, Schweiz","46.528668 6.479006399999999",46.528668,6.479006399999999
1127,"Clarmont","Schweiz",1308.9,"1127 Clarmont, Schweiz","46.5481199 6.449750499999999",46.5481199,6.449750499999999
1128,"Reverolle","Schweiz",2842.75,"1128 Reverolle, Schweiz","46.5403186 6.438032199999999",46.5403186,6.438032199999999
1131,"Tolochenaz","Schweiz",3140.4499999999994,"1131 Tolochenaz, Schweiz","46.4992863 6.4798958",46.4992863,6.4798958
1132,"Lully VD","Schweiz",186.75,"1132 Lully VD, Schweiz","46.5050101 6.4641451",46.5050101,6.4641451
1134,"Vufflens-le-Château","Schweiz",2928.85,"1134 Vufflens-le-Château, Schweiz","46.524096 6.4684775",46.524096,6.4684775
1135,"Denens","Schweiz",3005.7000000000003,"1135 Denens, Schweiz","46.5151868 6.4550855",46.5151868,6.4550855
1136,"Bussy-Chardonney","Schweiz",280.34999999999997,"1136 Bussy-Chardonney, Schweiz","46.5290671 6.441859699999999",46.5290671,6.441859699999999
1141,"Sévery","Schweiz",129.0,"1141 Sévery, Schweiz","46.576006 6.4382511",46.576006,6.4382511
1142,"Pampigny","Schweiz",2386.9999999999995,"1142 Pampigny, Schweiz","46.5823407 6.421916899999999",46.5823407,6.421916899999999
1143,"Apples","Schweiz",1186.8,"1143 Apples, Schweiz","46.5536773 6.4154581",46.5536773,6.4154581
1144,"Ballens","Schweiz",35.8,"1144 Ballens, Schweiz","46.5555631 6.3817762",46.5555631,6.3817762
1145,"Bière","Schweiz",4791.499999999999,"1145 Bière, Schweiz","46.5497473 6.3123465",46.5497473,6.3123465
1146,"Mollens VD","Schweiz",840.9499999999998,"1146 Mollens VD, Schweiz","46.57655 6.3523717",46.57655,6.3523717
1147,"Montricher","Schweiz",6357.849999999999,"1147 Montricher, Schweiz","46.5995113 6.374558899999999",46.5995113,6.374558899999999
1148,"Cuarnens","Schweiz",5077.099999999999,"1148 Cuarnens, Schweiz","46.62476040000001 6.4388657",46.62476040000001,6.4388657
1149,"Berolle","Schweiz",443.3,"1149 Berolle, Schweiz","46.5682377 6.3277999",46.5682377,6.3277999
1162,"St-Prex","Schweiz",2634.1500000000015,"1162 St-Prex, Schweiz","46.4843385 6.4452605",46.4843385,6.4452605
1163,"Etoy","Schweiz",1989.3999999999999,"1163 Etoy, Schweiz","46.4860297 6.4192307",46.4860297,6.4192307
1164,"Buchillon","Schweiz",2295.9500000000007,"1164 Buchillon, Schweiz","46.469383 6.4106785",46.469383,6.4106785
1165,"Allaman","Schweiz",588.0,"1165 Allaman, Schweiz","46.4703242 6.3938804",46.4703242,6.3938804
1166,"Perroy","Schweiz",4248.8,"1166 Perroy, Schweiz","46.4696583 6.3625624",46.4696583,6.3625624
1167,"Lussy-sur-Morges","Schweiz",9.95,"1167 Lussy-sur-Morges, Schweiz","46.5011904 6.446233899999999",46.5011904,6.446233899999999
1168,"Villars-sous-Yens","Schweiz",230.85,"1168 Villars-sous-Yens, Schweiz","46.5101868 6.428715100000001",46.5101868,6.428715100000001
1169,"Yens","Schweiz",5229.799999999999,"1169 Yens, Schweiz","46.52503 6.4090098",46.52503,6.4090098
1170,"Aubonne","Schweiz",5847.650000000003,"1170 Aubonne, Schweiz","46.4874855 6.389225000000001",46.4874855,6.389225000000001
1172,"Bougy-Villars","Schweiz",7434.6,"1172 Bougy-Villars, Schweiz","46.4823595 6.3512321",46.4823595,6.3512321
1173,"Féchy","Schweiz",876.8,"1173 Féchy, Schweiz","46.48142499999999 6.368024399999999",46.48142499999999,6.368024399999999
1174,"Montherod","Schweiz",67.8,"1174 Montherod, Schweiz","46.4995234 6.346555899999999",46.4995234,6.346555899999999
1175,"Lavigny","Schweiz",521.4,"1175 Lavigny, Schweiz","46.498627 6.4059103",46.498627,6.4059103
1176,"St-Livres","Schweiz",242.75,"1176 St-Livres, Schweiz","46.5167396 6.384435799999999",46.5167396,6.384435799999999
1180,"Tartegnin","Schweiz",1640.2500000000007,"1180 Tartegnin, Schweiz","46.466421 6.3166357",46.466421,6.3166357
1182,"Gilly","Schweiz",823.65,"1182 Gilly, Schweiz","46.4536845 6.3024099",46.4536845,6.3024099
1183,"Bursins","Schweiz",161.4,"1183 Bursins, Schweiz","46.45207000000001 6.2879174",46.45207000000001,6.2879174
1184,"Vinzel","Schweiz",467.4,"1184 Vinzel, Schweiz","46.4431491 6.2746474",46.4431491,6.2746474
1185,"Mont-sur-Rolle","Schweiz",1965.2500000000002,"1185 Mont-sur-Rolle, Schweiz","46.4693048 6.340543599999999",46.4693048,6.340543599999999
1186,"Essertines-sur-Rolle","Schweiz",140.1,"1186 Essertines-sur-Rolle, Schweiz","46.4845295 6.3120667",46.4845295,6.3120667
1187,"St-Oyens","Schweiz",608.8,"1187 St-Oyens, Schweiz","46.498721 6.3082679",46.498721,6.3082679
1188,"Gimel","Schweiz",22620.399999999983,"1188 Gimel, Schweiz","46.5089236 6.3070078",46.5089236,6.3070078
1189,"Saubraz","Schweiz",418.55,"1189 Saubraz, Schweiz","46.5176244 6.3250714",46.5176244,6.3250714
1195,"Dully","Schweiz",645.9,"1195 Dully, Schweiz","46.4365383 6.307097499999999",46.4365383,6.307097499999999
1196,"Gland","Schweiz",8658.300000000001,"1196 Gland, Schweiz","46.4167843 6.2716677",46.4167843,6.2716677
1197,"Prangins","Schweiz",4978.350000000001,"1197 Prangins, Schweiz","46.3983407 6.2563283",46.3983407,6.2563283
1201,"Genève","Schweiz",2202.2000000000007,"1201 Genève, Schweiz","46.2095516 6.1450463",46.2095516,6.1450463
1202,"Genève","Schweiz",9671.499999999995,"1202 Genève, Schweiz","46.2218641 6.1393057",46.2218641,6.1393057
1203,"Genève","Schweiz",3795.850000000001,"1203 Genève, Schweiz","46.2059929 6.121909200000001",46.2059929,6.121909200000001
1204,"Genève","Schweiz",2276.0,"1204 Genève, Schweiz","46.2035452 6.1451503",46.2035452,6.1451503
1205,"Genève","Schweiz",6716.400000000004,"1205 Genève, Schweiz","46.1902742 6.146484099999999",46.1902742,6.146484099999999
1206,"Genève","Schweiz",587.8499999999999,"1206 Genève, Schweiz","46.1896788 6.1575397",46.1896788,6.1575397
1207,"Genève","Schweiz",3776.7000000000003,"1207 Genève, Schweiz","46.2050242 6.162253499999999",46.2050242,6.162253499999999
1208,"Genève","Schweiz",5182.15,"1208 Genève, Schweiz","46.1976084 6.1662456",46.1976084,6.1662456
1209,"Genève","Schweiz",522.3,"1209 Genève, Schweiz","46.2214936 6.1238396",46.2214936,6.1238396
1211,,,26.9,,,,
1212,"Grand-Lancy","Schweiz",10431.600000000006,"1212 Grand-Lancy, Schweiz","46.1772299 6.1213228",46.1772299,6.1213228
1213,"Petit-Lancy","Schweiz",4657.599999999999,"1213 Petit-Lancy, Schweiz","46.19319 6.11613",46.19319,6.11613
1214,"Vernier","Schweiz",1560.9500000000005,"1214 Vernier, Schweiz","46.2153264 6.0819838",46.2153264,6.0819838
1216,"Cointrin","Schweiz",3183.0,"1216 Cointrin, Schweiz","46.2249031 6.1049941",46.2249031,6.1049941
1217,"Meyrin","Schweiz",5772.150000000001,"1217 Meyrin, Schweiz","46.2349075 6.074979099999999",46.2349075,6.074979099999999
1218,"Le Grand-Saconnex","Schweiz",1757.05,"1218 Le Grand-Saconnex, Schweiz","46.234773 6.122495",46.234773,6.122495
1219,"Le Lignon","Schweiz",3795.7500000000005,"1219 Le Lignon, Schweiz","46.2054365 6.0972475",46.2054365,6.0972475
1220,"Les Avanchets","Schweiz",731.9,"1220 Les Avanchets, Schweiz","46.221991 6.108207999999999",46.221991,6.108207999999999
1222,"Vésenaz","Schweiz",474.95,"1222 Vésenaz, Schweiz","46.23936 6.19754",46.23936,6.19754
1223,"Cologny","Schweiz",2142.8999999999996,"1223 Cologny, Schweiz","46.2122077 6.184800399999999",46.2122077,6.184800399999999
1224,"Chêne-Bougeries","Schweiz",677.4999999999999,"1224 Chêne-Bougeries, Schweiz","46.1976731 6.1872455",46.1976731,6.1872455
1225,"Chêne-Bourg","Schweiz",1456.75,"1225 Chêne-Bourg, Schweiz","46.1983343 6.197185699999999",46.1983343,6.197185699999999
1226,"Thônex","Schweiz",2582.1999999999994,"1226 Thônex, Schweiz","46.1964722 6.209378999999999",46.1964722,6.209378999999999
1227,"Les Acacias","Schweiz",7030.049999999997,"1227 Les Acacias, Schweiz","46.1919166 6.133937899999999",46.1919166,6.133937899999999
1228,"Plan-les-Ouates","Schweiz",4975.35,"1228 Plan-les-Ouates, Schweiz","46.1655214 6.116018",46.1655214,6.116018
1231,"Conches","Schweiz",682.3,"1231 Conches, Schweiz","46.18143999999999 6.174919999999999",46.18143999999999,6.174919999999999
1232,"Confignon","Schweiz",4212.750000000002,"1232 Confignon, Schweiz","46.17425650000001 6.087182599999999",46.17425650000001,6.087182599999999
1233,"Bernex","Schweiz",2874.5,"1233 Bernex, Schweiz","46.1779486 6.0628565",46.1779486,6.0628565
1234,"Vessy","Schweiz",458.25,"1234 Vessy, Schweiz","46.1793268 6.1649069",46.1793268,6.1649069
1236,"Cartigny","Schweiz",1698.2,"1236 Cartigny, Schweiz","46.1771821 6.0320171",46.1771821,6.0320171
1237,"Avully","Schweiz",1203.2000000000003,"1237 Avully, Schweiz","46.1691455 6.0024549",46.1691455,6.0024549
1239,"Collex","Schweiz",203.7,"1239 Collex, Schweiz","46.27221 6.122570000000001",46.27221,6.122570000000001
1241,"Puplinge","Schweiz",161.39999999999998,"1241 Puplinge, Schweiz","46.2094992 6.2346318",46.2094992,6.2346318
1242,"Satigny","Schweiz",1982.4500000000003,"1242 Satigny, Schweiz","46.2176698 6.0377956",46.2176698,6.0377956
1244,"Choulex","Schweiz",2414.0,"1244 Choulex, Schweiz","46.2243403 6.226663599999999",46.2243403,6.226663599999999
1245,"Collonge-Bellerive","Schweiz",256.25,"1245 Collonge-Bellerive, Schweiz","46.2568613 6.202908499999999",46.2568613,6.202908499999999
1246,"Corsier GE","Schweiz",50.8,"1246 Corsier GE, Schweiz","46.2626285 6.229418099999999",46.2626285,6.229418099999999
1247,"Anières","Schweiz",265.4,"1247 Anières, Schweiz","46.2746564 6.2292391",46.2746564,6.2292391
1248,"Hermance","Schweiz",37.85,"1248 Hermance, Schweiz","46.2905303 6.246758",46.2905303,6.246758
1252,"Meinier","Schweiz",227.45,"1252 Meinier, Schweiz","46.2455524 6.2341039",46.2455524,6.2341039
