Postleitzahl,Ort,Kanton,Land
1227,Les Acacias,Genf,Schweiz
1228,Plan-les-Ouates,Genf,Schweiz
1231,Conches,Genf,Schweiz
1232,Confignon,Genf,Schweiz
1233,Bernex,Genf,Schweiz
1234,Vessy,Genf,Schweiz
1236,Cartigny,Genf,Schweiz
1237,Avully,Genf,Schweiz
1239,Collex,Genf,Schweiz
1241,Puplinge,Genf,Schweiz
1242,Satigny,Genf,Schweiz
1243,Presinge,Genf,Schweiz
1244,Choulex,Genf,Schweiz
1245,Collonge-Bellerive,Genf,Schweiz
1246,Corsier GE,Genf,Schweiz
1247,Anières,Genf,Schweiz
1248,Hermance,Genf,Schweiz
1251,Gy,Genf,Schweiz
1252,Meinier,Genf,Schweiz
1253,Vandoeuvres,Genf,Schweiz
1254,Jussy,Genf,Schweiz
1255,Veyrier,Genf,Schweiz
1256,Troinex,Genf,Schweiz
1257,La Croix-de-Rozon,Genf,Schweiz
1258,Perly,Genf,Schweiz
1260,Nyon,Waadt,Schweiz
1261,Longirod,Waadt,Schweiz
1262,Eysins,Waadt,Schweiz
1263,Crassier,Waadt,Schweiz
1264,St-Cergue,Waadt,Schweiz
1265,La Cure,Waadt,Schweiz
1266,Duillier,Waadt,Schweiz
1267,Vich,Waadt,Schweiz
1268,Burtigny,Waadt,Schweiz
1269,Bassins,Waadt,Schweiz
1270,Trélex,Waadt,Schweiz
1271,Givrins,Waadt,Schweiz
1272,Genolier,Waadt,Schweiz
1273,Le Muids,Waadt,Schweiz
1274,Grens,Waadt,Schweiz
1275,Chéserex,Waadt,Schweiz
1276,Gingins,Waadt,Schweiz
1277,Arnex-sur-Nyon,Waadt,Schweiz
1278,La Rippe,Waadt,Schweiz
1279,Bogis-Bossey,Waadt,Schweiz
1281,Russin,Genf,Schweiz
1283,Dardagny,Genf,Schweiz
1284,Chancy,Genf,Schweiz
1285,Athenaz (Avusy),Genf,Schweiz
1286,Soral,Genf,Schweiz
1287,Laconnex,Genf,Schweiz
1288,Aire-la-Ville,Genf,Schweiz
1290,Versoix,Genf,Schweiz
1291,Commugny,Waadt,Schweiz
1292,Chambésy,Genf,Schweiz
1293,Bellevue,Genf,Schweiz
1294,Genthod,Genf,Schweiz
1295,Mies,Waadt,Schweiz
1296,Coppet,Waadt,Schweiz
1297,Founex,Waadt,Schweiz
1298,Céligny,Genf,Schweiz
1299,Crans-près-Céligny,Waadt,Schweiz
1302,Vufflens-la-Ville,Waadt,Schweiz
1303,Penthaz,Waadt,Schweiz
1304,Senarclens,Waadt,Schweiz
1305,Penthalaz,Waadt,Schweiz
1306,Daillens,Waadt,Schweiz
1307,Lussery-Villars,Waadt,Schweiz
1308,La Chaux (Cossonay),Waadt,Schweiz
1312,Eclépens,Waadt,Schweiz
1313,Ferreyres,Waadt,Schweiz
1315,La Sarraz,Waadt,Schweiz
1316,Chevilly,Waadt,Schweiz
1317,Orny,Waadt,Schweiz
1318,Pompaples,Waadt,Schweiz
1321,Arnex-sur-Orbe,Waadt,Schweiz
1322,Croy,Waadt,Schweiz
1323,Romainmôtier,Waadt,Schweiz
1324,Premier,Waadt,Schweiz
1325,Vaulion,Waadt,Schweiz
1326,Juriens,Waadt,Schweiz
1329,Bretonnières,Waadt,Schweiz
1337,Vallorbe,Waadt,Schweiz
1338,Ballaigues,Waadt,Schweiz
1341,Orient,Waadt,Schweiz
1342,Le Pont,Waadt,Schweiz
1343,Les Charbonnières,Waadt,Schweiz
1344,L'Abbaye,Waadt,Schweiz
1345,Le Lieu,Waadt,Schweiz
1346,Les Bioux,Waadt,Schweiz
1347,Le Solliat,Waadt,Schweiz
1348,Le Brassus,Waadt,Schweiz
1350,Orbe,Waadt,Schweiz
1352,Agiez,Waadt,Schweiz
1353,Bofflens,Waadt,Schweiz
1354,Montcherand,Waadt,Schweiz
1355,Sergey,Waadt,Schweiz
1356,Les Clées,Waadt,Schweiz
1357,Lignerolle,Waadt,Schweiz
1358,Valeyres-sous-Rances,Waadt,Schweiz
1372,Bavois,Waadt,Schweiz
1373,Chavornay,Waadt,Schweiz
1374,Corcelles-sur-Chavornay,Waadt,Schweiz
1375,Penthéréaz,Waadt,Schweiz
1376,Eclagnens,Waadt,Schweiz
1377,Oulens-sous-Echallens,Waadt,Schweiz
1400,Yverdon-les-Bains,Waadt,Schweiz
1404,Cuarny,Waadt,Schweiz
1405,Pomy,Waadt,Schweiz
1406,Cronay,Waadt,Schweiz
1407,Bioley-Magnoux,Waadt,Schweiz
1408,Prahins,Waadt,Schweiz
1409,Chanéaz,Waadt,Schweiz
1410,Prévondavaux,Freiburg,Schweiz
1412,Valeyres-sous-Ursins,Waadt,Schweiz
1413,Orzens,Waadt,Schweiz
1415,Molondin,Waadt,Schweiz
1416,Pailly,Waadt,Schweiz
1417,Epautheyres,Waadt,Schweiz
1418,Vuarrens,Waadt,Schweiz
1420,Fiez,Waadt,Schweiz
1421,Fontaines-sur-Grandson,Waadt,Schweiz
1422,Grandson,Waadt,Schweiz
1423,Fontanezier,Waadt,Schweiz
1424,Champagne,Waadt,Schweiz
1425,Onnens VD,Waadt,Schweiz
1426,Corcelles-près-Concise,Waadt,Schweiz
1427,Bonvillars,Waadt,Schweiz
1428,Mutrux,Waadt,Schweiz
1429,Giez,Waadt,Schweiz
1430,Orges,Waadt,Schweiz
1431,Vugelles-La Mothe,Waadt,Schweiz
1432,Belmont-sur-Yverdon,Waadt,Schweiz
1433,Suchy,Waadt,Schweiz
1434,Ependes VD,Waadt,Schweiz
