"ID";"Name";"Strasse";"PLZ";"Ort";"Adresse";"coordinate";"latitude";"longitude"
151;"LANDI Freiamt";"Bergstrasse 6";5452;"Oberrohrdorf";"Bergstrasse 6, Oberrohrdorf, Switzerland";"47.418544 8.3177977";47.418544;8.3177977
152;"LANDI Lenzburg";"Sägestrasse 10";5600;"Lenzburg";"Sägestrasse 10, Lenzburg, Switzerland";"47.39277149999999 8.1797117";47.39277149999999;8.1797117
153;"LANDI Freiamt";"Luzernstrasse 65";5630;"Muri AG";"Luzernstrasse 65, Muri AG, Switzerland";"47.2544179 8.3764769";47.2544179;8.3764769
154;"LANDI Sins";"Bahnhofstrasse 32";5643;"Sins";"Bahnhofstrasse 32, Sins, Switzerland";"47.1870237 8.3975042";47.1870237;8.3975042
155;"LANDI Unteres Seetal";"Dürrenäscherweg 413";5705;"Hallwil";"Dürrenäscherweg 413, Hallwil, Switzerland";"47.3309053 8.1732043";47.3309053;8.1732043
156;"LANDI Hallwilersee";"Poststrasse 18";5707;"Seengen";"Poststrasse 18, Seengen, Switzerland";"47.3250288 8.206605099999999";47.3250288;8.206605099999999
157;"LANDI Unteres Seetal";"Kirchenfeldstrasse 10";5722;"Gränichen";"Kirchenfeldstrasse 10, Gränichen, Switzerland";"47.3551384 8.0995401";47.3551384;8.0995401
158;"LANDI Hallwilersee";"Mattenstrasse 10";5734;"Reinach AG";"Mattenstrasse 10, Reinach AG, Switzerland";"47.2644526 8.1739024";47.2644526;8.1739024
159;"LANDI Aarau-West AG";"Hardfeld 1";5742;"Kölliken";"Hardfeld 1, Kölliken, Switzerland";"47.33169119999999 8.0373526";47.33169119999999;8.0373526
160;"LANDI Sursee";"Guglern 34";6018;"Buttisholz";"Guglern 34, Buttisholz, Switzerland";"47.1073451 8.0847293";47.1073451;8.0847293
161;"LANDI Sempach-Emmen";"Bahnhofstrasse 15";6020;"Emmenbrücke";"Bahnhofstrasse 15, Emmenbrücke, Switzerland";"47.0712801 8.2809606";47.0712801;8.2809606
162;"LANDI Sempach-Emmen";"Stationsstrasse 82";6023;"Rothenburg";"Stationsstrasse 82, Rothenburg, Switzerland";"47.0927032 8.2534732";47.0927032;8.2534732
163;"LANDI Buchrain Genossenschaft";"Schiltwaldstrasse 2";6033;"Buchrain";"Schiltwaldstrasse 2, Buchrain, Switzerland";"47.1058856 8.343066799999999";47.1058856;8.343066799999999
164;"LANDI Pilatus AG";"Technikumstrasse 1";6048;"Horw";"Technikumstrasse 1, Horw, Switzerland";"47.0175786 8.303713799999999";47.0175786;8.303713799999999
165;"LANDI Unterwalden AG";"Kernserstrasse 1";6060;"Sarnen";"Kernserstrasse 1, Sarnen, Switzerland";"46.8959365 8.248026";46.8959365;8.248026
166;"LANDI Pilatus AG";"Mettlenmatte 1";6102;"Malters";"Mettlenmatte 1, Malters, Switzerland";"47.0400382 8.1800117";47.0400382;8.1800117
167;"LANDI Pilatus AG";"Entlebucherstrasse 81";6110;"Wolhusen";"Entlebucherstrasse 81, Wolhusen, Switzerland";"47.0516528 8.0681576";47.0516528;8.0681576
168;"LANDI Luzern West";"Ettiswilerstrasse 30";6130;"Willisau";"Ettiswilerstrasse 30, Willisau, Switzerland";"47.1269049 7.997980300000001";47.1269049;7.997980300000001
169;"LANDI Luzern West";"Bahnhofstrasse 3";6144;"Zell";"Bahnhofstrasse 3, Zell, Switzerland";"47.1367504 7.9267509";47.1367504;7.9267509
170;"LANDI Wiggen und Umgebung Genossenschaft";"Blumattstrasse 1";6162;"Entlebuch";"Blumattstrasse 1, Entlebuch, Switzerland";"46.99310380000001 8.0609716";46.99310380000001;8.0609716
171;"LANDI Schüpfheim-Flühli";"Bahnhofstrasse 15";6170;"Schüpfheim";"Bahnhofstrasse 15, Schüpfheim, Switzerland";"46.9496784 8.0145818";46.9496784;8.0145818
172;"LANDI Wiggen und Umgebung Genossenschaft";"Bahnhofstrasse 8";6182;"Escholzmatt";"Bahnhofstrasse 8, Escholzmatt, Switzerland";"46.9141635 7.936249699999999";46.9141635;7.936249699999999
173;"LANDI Wiggen und Umgebung";"Unterwiggen 2";6192;"Wiggen";"Unterwiggen 2, Wiggen, Switzerland";"46.9007437 7.9004368";46.9007437;7.9004368
